electrode,sentence_onset_importance,scene_onset_importance,difference,ratio
T1cIe5,0.002313551047983424,0.002241124722321116,7.242632566230832e-05,1.0323169084296238
T1cIe6,0.0022846103729954746,0.0024215142601861908,-0.00013690388719071614,0.9434634832476527
T1cIe7,0.001703037422049975,0.0011630982245969539,0.0005399391974530211,1.4642248088871808
T1cIe8,0.0014271290967736074,0.0018666419526864482,-0.0004395128559128408,0.7645435260175891
T1cIe9,0.0014232287994424943,0.0019116951493505312,-0.0004884663499080369,0.7444851892193665
T1cIe10,0.0013465423390432594,0.00215409943589716,-0.0008075570968539005,0.6251068330890469
T1cIe11,0.0017215620356208132,0.002049510708037416,-0.00032794867241660287,0.839986805080261
T1cIe12,0.0024941417710054006,0.0019239848088150027,0.0005701569621903979,1.296341649863336
T1b1,0.0040161667015038115,0.002511162454132105,0.0015050042473717063,1.5993256569134602
T1b2,0.003275721911320708,0.0018971782497818287,0.001378543661538879,1.7266283434540608
T1b3,0.002368166772307559,0.001979277818478351,0.0003888889538292083,1.19648016592242
T1b4,0.002367154212186452,0.0015259580594932346,0.0008411961526932172,1.5512576131003326
T1b5,0.0018486180210549484,0.0014715968968519147,0.00037702112420303366,1.2561985550456876
T1b6,0.001866542612463024,0.0014219704418190194,0.00044457217064400464,1.3126450637122884
T1aIc3,0.003396032404596266,0.0019541395323086443,0.0014418928722876216,1.7378657842296314
T1aIc4,0.0017170025964019454,0.0016242337166597373,9.276887974220814e-05,1.0571154096107842
T1aIc5,0.001461102832997115,0.0013030133014434182,0.00015808953155369682,1.121326021189477
T1aIc6,0.001657515558119533,0.001672097986446327,-1.4582428326793918e-05,0.9912789037646793
O1aIb9,0.003484044525355213,0.002271039844780893,0.0012130046805743197,1.5341185580473569
O1aIb10,0.002456741569824948,0.002655827936704171,-0.00019908636687922298,0.9250378924660027
O1aIb11,0.0019178065692115331,0.0024400899532960522,-0.0005222833840845191,0.7859572914618363
O1aIb12,0.001703532099719224,0.002353943346931329,-0.000650411247212105,0.7236928745845612
O1aIb13,0.0022212695090885505,0.0029800861227572755,-0.000758816613668725,0.7453708862938058
O1aIb14,0.0019276907309470465,0.0023183220396676744,-0.00039063130872062785,0.8315025327857914
O1aIb15,0.0012996197779184921,0.0024922341318231993,-0.0011926143539047072,0.5214677502313867
O1aIb16,0.0016427763418176836,0.002193772005266022,-0.0005509956634483385,0.7488363708674637
F3d1,0.0017562390610293159,0.002389190473150871,-0.0006329514121215553,0.7350770092455132
F3d2,0.0015493677356174622,0.001759067872759595,-0.00020970013714213288,0.8807890085036573
